Operation Type, Drone ID, Step Simulated Time, Total Simulated Time
Search, 300, 6.677821, 751.6132
Search, 300, 6.01104, 757.6243
Search, 300, 2.975893, 760.6002
Search, 300, 1.884497, 762.4847
Search, 300, 3.864763, 766.3494
Search, 300, 2.322683, 768.6721
Search, 300, 6.306343, 774.9785
Search, 300, 7.93595, 782.9144
Search, 300, 5.75859, 788.673
Search, 300, 6.219918, 794.8929
Search, 300, 3.659482, 798.5524
Search, 300, 8.014697, 806.5671
Search, 300, 6.672118, 813.2393
Search, 300, 4.366684, 817.606
Search, 300, 6.223704, 823.8297
Search, 300, 4.108434, 827.9381
Search, 300, 7.537009, 835.4751
Search, 300, 5.630406, 841.1055
Search, 300, 4.949571, 846.0551
Search, 300, 3.774194, 849.8293
Search, 300, 5.497318, 855.3266
Search, 300, 8.302108, 863.6287
Search, 300, 6.484497, 870.1132
Search, 300, 6.55706, 876.6703
Search, 300, 3.919011, 880.5893
Search, 300, 2.926173, 883.5154
Search, 300, 1.67818, 885.1936
Search, 300, 1.417553, 886.6111
Search, 300, 1.940732, 888.5519
Search, 300, 3.672681, 892.2245
Search, 300, 7.908303, 900.1329
Search, 300, 9.220089, 909.353
Search, 300, 5.735834, 915.0888
Search, 300, 2.954976, 918.0438
Search, 300, 4.907286, 922.951
Search, 300, 3.223235, 926.1743
Search, 300, 4.324459, 930.4987
Search, 300, 2.94435, 933.4431
Search, 300, 0.5463075, 933.9894
Search, 300, 0.2620461, 934.2514
Search, 300, 5.171438, 939.4229
Search, 300, 5.277982, 944.7008
Search, 300, 3.397737, 948.0986
Search, 300, 1.965377, 950.064
Search, 300, 7.828533, 957.8925
Search, 300, 3.131869, 961.0244
Search, 300, 3.100921, 964.1253
Search, 300, 4.65018, 968.7755
Search, 300, 4.277235, 973.0527
Search, 300, 8.377633, 981.4304
Search, 300, 10.20192, 991.6323
Search, 300, 5.517999, 997.1503
Search, 300, 1.195841, 998.3461
Search, 300, 4.932933, 1003.279
Search, 300, 7.145464, 1010.424
Search, 300, 7.287557, 1017.712
Search, 300, 9.561913, 1027.274
Search, 300, 6.874236, 1034.148
Search, 300, 7.412695, 1041.561
Search, 300, 3.711459, 1045.272
Search, 300, 4.971703, 1050.244
Search, 300, 3.0933, 1053.337
Search, 300, 3.192718, 1056.53
Search, 300, 6.316421, 1062.846
Search, 300, 2.211685, 1065.058
Search, 300, 6.572063, 1071.63
Search, 300, 2.042263, 1073.672
Search, 300, 1.708768, 1075.381
Search, 300, 5.524979, 1080.906
Search, 300, 3.527154, 1084.433
Search, 300, 9.503957, 1093.937
Search, 300, 3.689175, 1097.626
Search, 300, 4.190228, 1101.817
Search, 300, 5.389911, 1107.206
Search, 300, 4.167444, 1111.374
Search, 300, 4.627115, 1116.001
Search, 300, 4.930983, 1120.932
Search, 300, 6.61646, 1127.548
Search, 300, 6.484538, 1134.033
Search, 300, 1.997699, 1136.031
Search, 300, 6.207497, 1142.238
Search, 300, 5.898738, 1148.137
Search, 300, 4.319811, 1152.457
Search, 300, 3.048739, 1155.505
Search, 300, 5.240066, 1160.745
Search, 300, 1.855618, 1162.601
Search, 300, 1.884236, 1164.485
Search, 300, 3.951148, 1168.437
Search, 300, 9.13817, 1177.575
Search, 300, 5.508255, 1183.083
Search, 300, 7.530037, 1190.613
Search, 300, 7.992288, 1198.605
Search, 300, 7.838461, 1206.444
Search, 300, 6.002383, 1212.446
Search, 300, 1.043192, 1213.49
Search, 300, 4.255891, 1217.745
Search, 300, 4.681511, 1222.427
Search, 300, 0.8012649, 1223.228
Search, 300, 4.417897, 1227.646
Search, 300, 7.686597, 1235.333
Search, 300, 7.139173, 1242.472
Search, 300, 4.382406, 1246.854
Search, 300, 1.959161, 1248.813
Search, 300, 3.184593, 1251.998
Search, 300, 2.862845, 1254.861
